,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,knn,rfc,log,gb,sgd,lda,svc,mlp,result
9237,5.0,5.0,5.0,3.0,8.0,15.0,2.0,3.0,0.0,0.0,1,0,0,2,0,2,0,0,1
9238,1.0,6.0,8.0,4.0,12.0,10.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9239,2.0,10.0,4.0,5.0,8.0,12.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9240,3.0,5.0,6.0,9.0,21.0,8.0,3.0,4.0,0.0,0.0,2,0,1,0,2,0,2,2,2
9241,3.0,4.0,4.0,7.0,12.0,6.0,3.0,1.0,1.0,0.0,2,0,0,0,0,0,0,0,2
9242,7.0,2.0,3.0,6.0,11.0,11.0,0.0,4.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9243,4.0,3.0,2.0,5.0,12.0,9.0,5.0,0.0,0.0,0.0,1,0,2,0,2,0,2,2,1
9244,7.0,2.0,9.0,2.0,3.0,12.0,1.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9245,4.0,4.0,1.0,4.0,11.0,15.0,2.0,0.0,0.0,0.0,2,0,2,2,2,0,2,2,2
9246,7.0,2.0,8.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9247,3.0,2.0,7.0,3.0,11.0,6.0,1.0,0.0,0.0,0.0,2,0,1,2,2,2,2,2,2
9248,3.0,4.0,1.0,4.0,14.0,22.0,2.0,3.0,0.0,1.0,1,0,2,2,2,2,2,2,1
9249,8.0,2.0,10.0,3.0,7.0,4.0,0.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9250,6.0,2.0,4.0,3.0,7.0,7.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9251,5.0,10.0,2.0,4.0,9.0,17.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9252,6.0,3.0,4.0,2.0,18.0,7.0,0.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9253,4.0,1.0,5.0,2.0,13.0,12.0,0.0,3.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9254,4.0,7.0,4.0,3.0,4.0,8.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9255,1.0,6.0,5.0,5.0,3.0,13.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9256,1.0,12.0,2.0,4.0,5.0,12.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9257,2.0,5.0,3.0,3.0,13.0,13.0,2.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9258,4.0,4.0,4.0,5.0,9.0,13.0,1.0,2.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9259,2.0,3.0,3.0,4.0,11.0,13.0,3.0,3.0,0.0,0.0,1,0,0,0,2,0,0,0,1
9260,6.0,3.0,14.0,2.0,9.0,7.0,1.0,2.0,0.0,0.0,1,0,1,2,2,2,0,2,1
9261,5.0,3.0,4.0,5.0,10.0,10.0,2.0,2.0,1.0,1.0,2,0,2,1,2,2,2,2,2
9262,5.0,4.0,1.0,3.0,13.0,12.0,2.0,1.0,0.0,0.0,0,0,2,2,2,2,2,2,0
