,HomeTeam,AwayTeam,FTHG,FTAG,HS,AST,HC,AC,HF,AF,HY,AY,HR,AR
220,Mansfield,Southend,1,1,6,2,5,2,16,15,2,3,0,0
221,Newport County,Oldham,2,4,4,7,7,3,3,16,1,2,0,0
222,Walsall,Port Vale,4,3,6,5,6,3,10,14,1,3,0,0
223,Grimsby,Bradford,1,2,2,3,6,4,11,7,0,0,0,0
224,Cambridge,Leyton Orient,2,1,4,4,1,7,14,14,2,1,0,0
225,Exeter,Forest Green,1,1,4,3,5,7,7,8,0,1,0,0
226,Scunthorpe,Mansfield,2,3,4,5,6,1,12,16,1,1,0,0
227,Southend,Colchester,2,0,4,3,5,9,13,11,2,4,0,0
228,Carlisle,Bolton,3,3,7,2,6,4,12,11,4,2,0,1
229,Cheltenham,Stevenage,1,1,4,1,6,3,11,16,0,1,0,0
230,Crawley Town,Newport County,1,1,0,4,1,8,12,8,2,0,1,0
231,Morecambe,Grimsby,3,1,5,3,8,2,9,17,2,0,0,0
232,Oldham,Harrogate,1,2,1,10,5,8,11,8,1,0,1,0
233,Port Vale,Barrow,0,2,2,3,5,1,17,11,1,2,0,0
234,Salford,Walsall,2,0,5,4,5,5,14,14,2,0,0,0
235,Tranmere,Bradford,0,1,5,3,8,8,10,9,0,2,0,0
236,Stevenage,Cambridge,1,0,3,2,2,5,10,15,0,2,0,0
237,Bradford,Port Vale,0,0,4,1,8,2,4,9,0,0,0,0
238,Forest Green,Crawley Town,1,2,5,7,7,11,15,16,0,2,0,0
239,Grimsby,Oldham,0,0,1,2,0,8,12,12,3,3,0,0
240,Leyton Orient,Southend,2,0,5,1,7,3,18,9,2,2,0,0
241,Walsall,Scunthorpe,1,2,10,6,5,3,8,17,0,1,0,0
242,Barrow,Tranmere,1,1,5,10,3,7,11,17,1,2,1,0
243,Colchester,Cheltenham,0,0,1,4,3,10,5,5,1,1,0,0
244,Bolton,Crawley Town,0,1,7,5,6,4,13,77,1,0,1,0
245,Grimsby,Cambridge,1,2,4,4,12,3,14,10,0,1,0,0
246,Leyton Orient,Salford,1,0,2,3,4,5,16,12,2,1,0,0
247,Mansfield,Port Vale,4,0,5,4,6,5,11,17,0,3,0,1
248,Stevenage,Scunthorpe,3,1,4,2,0,7,11,12,4,1,0,0
249,Walsall,Carlisle,0,2,2,4,9,4,15,14,2,3,0,0
250,Mansfield,Salford,2,1,4,4,3,4,10,10,0,2,0,0
251,Cambridge,Harrogate,2,1,4,3,8,1,9,17,3,4,0,1
252,Port Vale,Grimsby,3,0,4,3,5,6,15,10,2,1,0,0
253,Southend,Barrow,1,0,3,4,4,4,11,11,1,2,1,0
254,Exeter,Bolton,1,1,3,3,6,5,4,11,1,2,0,0
